    EDF      Z      N                 N-N                 P-P                 N-P
    SKP     48    104       15.5910772265       1.49460187169      -4.32970251696    
    SKP     48    106       13.9628239812       1.54524576168      -4.39374550328    
    SKP     48    108       13.8241840275                 N/A                 N/A    
    SKP     48    110       16.2929471905                 N/A                 N/A    
    SKP     48    112        14.417064037                 N/A                 N/A    
    SKP     50     50      0.847681041359                 N/A      -2.11752249868    
    SKP     50     52       2.16390381231                 N/A      -2.55245942228    
    SKP     50     54       3.02553094286      0.672893284676      -2.50674628093    
    SKP     50     56       3.11794807837      0.714338396742      -2.53288155169    
    SKP     50     58        3.9258447191      0.788437096912       -3.0308793566    
    SKP     50     60       5.16105724258      0.836807303989      -2.84840233113    
    SKP     50     62       5.54298376044      0.823028840782      -2.47813971008    
    SKP     50     64       6.02341602982      0.775559934884      -2.24008942437    
    SKP     50     66       5.58399515309       0.68973924925       -2.0970933238    
    SKP     50     68        5.7167194034      0.623042575459      -2.24651831783    
    SKP     50     70         6.142411818      0.585242809926      -2.62312282773    
